,onset_time,sound_frequency,target_interval,response
184,678.848984375,1000,1,1
185,681.356796875,1000,2,2
186,683.645859375,1000,1,1
187,686.223984375,1000,2,2
188,688.145859375,1000,1,1
189,690.3275,1000,1,1
190,692.923203125,1000,2,2
191,695.08921875,1000,2,2
192,696.548203125,1000,1,2
193,700.669296875,1000,2,2
194,702.1634375,1000,1,1
195,704.39390625,1000,1,1
196,706.343125,1000,1,1
197,708.43296875,1000,1,1
198,711.028671875,1000,1,1
199,714.122421875,1200,2,2
200,785.712265625,1000,1,1
201,789.00328125,1000,2,2
202,790.811875,1000,2,2
203,792.9525,1000,2,2
204,796.368515625,1000,2,2
205,798.249375,1000,2,2
206,799.593125,1200,1,1
207,802.735703125,1000,2,2
208,804.968125,1000,2,2
209,806.743515625,1000,1,1
210,808.90953125,1000,1,1
211,810.786484375,1000,1,1
212,812.657578125,1000,1,2
213,815.317734375,1000,2,2
214,816.64,1000,1,1
215,819.1009375,1000,2,2
216,820.528671875,1200,1,1
217,822.427109375,1000,1,1
218,824.40953125,1000,1,2
219,827.00328125,1000,2,2
220,828.7728125,1000,1,1
221,832.450546875,1000,2,2
222,834.55015625,1000,2,2
223,836.22203125,1000,1,1
224,838.798203125,1200,2,1
225,841.216171875,1000,2,2
226,844.848984375,1000,2,2
227,846.329453125,1200,1,1
228,849.290390625,1000,1,1
229,852.145859375,1000,2,2
230,853.962265625,1000,1,1
231,856.0071875,1000,1,1
232,858.499375,1000,2,2
233,860.700546875,1200,2,1
234,862.598984375,1200,2,2
235,864.95640625,1200,1,1
236,868.40171875,1000,2,1
237,871.048203125,1200,2,1
238,873.81578125,1200,2,1
239,876.6321875,1000,2,1
240,878.606796875,1000,1,1
241,880.97203125,1000,2,2
242,882.72203125,1200,1,1
243,885.3196875,1000,2,2
244,887.4759375,1000,1,1
245,889.83140625,1000,2,2
246,891.837265625,1000,1,1
247,894.040390625,1000,1,1
248,895.9915625,1200,1,2
249,898.755234375,1000,1,1
250,960.124375,1200,2,2
251,961.48765625,1000,1,2
252,964.25328125,1200,1,1
253,966.6790625,1200,2,2
254,968.3040625,1000,1,1
255,970.895859375,1200,2,2
256,973.145859375,1000,2,2
257,974.65171875,1200,1,1
258,977.044296875,1000,2,2
259,979.2103125,1000,2,2
260,981.200546875,1000,2,2
261,983.313828125,1000,2,2
262,984.802109375,1000,1,1
263,986.790390625,1000,1,1
264,988.919296875,1200,1,1
265,991.595078125,1000,2,2
266,993.13609375,1200,1,1
267,994.968125,1200,1,1
268,996.973984375,1000,1,1
269,999.829453125,1200,2,2
270,1001.266953125,1000,1,1
271,1003.184921875,1000,1,1
272,1005.7103125,1200,2,2
273,1007.2728125,1000,1,1
274,1009.811875,1000,2,2
275,1011.763046875,1000,2,2
276,1013.593125,1000,2,2
277,1014.950546875,1000,1,1
278,1017.29234375,1000,2,2
279,1019.4915625,1000,2,2
280,1021.442734375,1000,2,2
281,1023.374375,1200,2,2
282,1025.345078125,1000,2,2
283,1027.493515625,1000,2,2
284,1029.509140625,1200,2,1
285,1031.515,1000,1,1
286,1034.102890625,1000,2,2
287,1035.48375,1000,1,1
288,1037.37046875,1000,1,1
289,1039.71421875,1000,2,2
290,1042.1321875,1200,2,1
291,1044.192734375,1000,2,2
292,1045.751328125,1000,1,1
293,1048.278671875,1000,2,2
294,1050.563828125,1000,2,1
295,1052.583359375,1000,1,1
296,1054.501328125,1000,1,1
297,1056.880234375,1000,2,2
298,1058.774765625,1000,2,2
299,1060.333359375,1000,1,2
300,1103.36265625,1000,1,1
301,1106.05796875,1200,2,2
302,1107.89,1200,2,2
303,1109.94078125,1000,2,2
304,1111.92515625,1000,2,2
305,1113.962265625,1000,1,1
306,1116.181015625,1000,1,1
307,1118.015,1000,1,2
308,1120.09703125,1200,1,1
309,1122.153671875,1000,1,1
310,1124.58921875,1000,2,1
311,1127.25328125,1000,2,2
312,1128.6478125,1000,1,1
313,1130.712265625,1000,1,1
314,1132.780625,1000,1,1
315,1134.661484375,1000,1,1
316,1136.59703125,1000,1,2
317,1138.6790625,1000,1,1
318,1141.155625,1000,2,1
319,1143.079453125,1000,2,1
320,1145.337265625,1000,2,2
321,1147.536484375,1200,2,1
322,1149.79625,1200,1,1
323,1151.72984375,1000,1,2
324,1153.731796875,1000,1,1
325,1155.630234375,1000,1,2
326,1158.2571875,1000,2,2
327,1159.62828125,1000,1,2
328,1162.505234375,1000,2,2
329,1165.036484375,1000,2,2
330,1166.4134375,1000,1,1
331,1168.265,1000,1,1
332,1170.954453125,1000,2,2
333,1172.942734375,1200,2,2
334,1174.52671875,1000,1,1
335,1176.936875,1000,2,2
336,1178.313828125,1200,1,2
337,1181.96421875,1000,1,1
338,1184.75328125,1000,2,2
339,1186.571640625,1000,2,1
340,1188.919296875,1200,2,2
341,1191.388046875,1000,2,2
342,1193.458359375,1000,2,2
343,1195.5540625,1000,2,2
344,1197.6790625,1000,2,2
345,1199.1165625,1000,1,2
346,1201.024765625,1000,1,1
347,1203.35875,1200,2,2
348,1205.26890625,1200,2,2
349,1207.4915625,1200,2,2
350,1303.341171875,1200,1,1
351,1306.895859375,1000,1,1
352,1309.563828125,1000,2,2
353,1310.962265625,1200,1,1
354,1313.56578125,1000,2,2
