,time,target,response,frequency
21,1403.06298828125,2,1,1200
22,1405.1630859375,2,1,1000
23,1406.89306640625,1,1,1000
24,1409.04296875,1,1,1000
25,1411.22265625,1,1,1200
26,1414.72265625,1,1,1200
27,1419.67236328125,1,1,1000
28,1421.6123046875,1,1,1000
29,1423.6123046875,1,1,1000
30,1425.6220703125,1,1,1000
31,1427.6220703125,1,1,1200
32,1429.671875,1,1,1000
33,1431.7216796875,1,1,1000
34,1434.2216796875,2,2,1000
35,1436.37158203125,2,2,1200
36,1438.771484375,2,2,1000
37,1440.44140625,1,2,1200
38,1443.94140625,2,2,1000
39,1446.09130859375,2,2,1000
40,1448.1708984375,2,2,1000
41,1449.62060546875,1,2,1200
42,1451.8408203125,1,1,1000
43,1453.8408203125,1,1,1000
44,1455.91064453125,1,1,1000
45,1458.71044921875,2,2,1000
46,1460.42041015625,1,1,1000
47,1462.39013671875,1,1,1200
48,1464.39013671875,1,1,1000
0,1471.2373046875,2,2,1000
1,1473.18701171875,2,2,1000
2,1474.51708984375,1,1,1000
3,1481.91650390625,2,2,1000
4,1483.78662109375,1,2,1000
5,1487.58642578125,2,2,1000
6,1489.18603515625,1,1,1000
7,1492.18603515625,2,1,1000
8,1494.5859375,1,1,1000
9,1496.76611328125,1,2,1000
10,1503.0654296875,2,2,1000
11,1505.1552734375,2,2,1000
12,1507.08544921875,1,1,1000
13,1509.1650390625,1,1,1200
14,1511.68505859375,1,1,1200
15,1513.96484375,1,1,1200
16,1516.36474609375,1,1,1200
17,1519.0048828125,2,2,1000
18,1520.5048828125,1,1,1200
19,1522.7548828125,1,1,1000
20,1524.95458984375,1,1,1200
21,1527.6845703125,2,2,1000
22,1529.3642578125,1,1,1000
23,1532.05419921875,2,2,1000
24,1534.154296875,2,2,1000
25,1537.6337890625,2,2,1000
26,1539.65380859375,2,2,1000
27,1541.83349609375,2,2,1200
28,1544.0537109375,2,2,1000
29,1546.3134765625,2,2,1000
30,1548.453125,2,2,1000
31,1550.5634765625,2,2,1000
32,1552.1533203125,1,2,1000
33,1560.20263671875,2,2,1200
34,1563.1328125,1,1,1000
35,1566.732421875,2,1,1200
36,1568.46240234375,1,1,1000
37,1571.18212890625,2,2,1000
38,1572.9521484375,1,1,1000
39,1575.26220703125,1,2,1000
