,subjectID,frequency,is_rare,is_tone,response
570,2,1000,0,0,0
571,2,1000,0,0,0
572,2,1000,0,0,0
573,2,1000,0,0,0
574,2,1000,0,1,1
575,2,1000,0,0,0
576,2,1000,0,0,1
577,2,1200,1,0,1
578,2,1200,1,1,0
579,2,1000,0,0,0
580,2,1000,0,0,1
581,2,1000,0,0,0
582,2,1200,1,0,1
583,2,1000,0,0,0
584,2,1000,0,0,0
585,2,1200,1,0,0
586,2,1000,0,0,0
587,2,1000,0,0,1
588,2,1200,1,1,1
589,2,1000,0,0,0
590,2,1000,0,0,1
591,2,1200,1,0,0
592,2,1000,0,0,0
593,2,1000,0,0,0
594,2,1000,0,0,0
595,2,1000,0,1,1
596,2,1000,0,1,1
597,2,1200,1,0,0
598,2,1000,0,0,0
599,2,1200,1,0,1
600,2,1000,0,1,1
601,2,1200,1,0,0
602,2,1000,0,1,1
603,2,1000,0,0,0
604,2,1000,0,0,0
605,2,1000,0,0,0
606,2,1000,0,1,1
607,2,1000,0,0,1
608,3,1200,1,0,0
609,3,1000,0,1,0
610,3,1000,0,0,0
611,3,1000,0,0,0
612,3,1200,1,1,0
613,3,1000,0,0,0
614,3,1200,1,1,1
615,3,1200,1,0,0
616,3,1000,0,0,0
617,3,1000,0,0,0
618,3,1000,0,0,0
619,3,1000,0,0,0
620,3,1000,0,0,0
621,3,1000,0,0,0
622,3,1000,0,0,0
623,3,1200,1,0,0
624,3,1000,0,1,1
625,3,1200,1,0,0
626,3,1000,0,0,0
627,3,1000,0,0,0
628,3,1000,0,0,0
629,3,1200,1,0,0
630,3,1200,1,0,0
631,3,1000,0,1,1
632,3,1000,0,0,0
633,3,1000,0,0,0
634,3,1000,0,0,0
635,3,1000,0,0,0
636,3,1000,0,0,1
637,3,1000,0,0,0
638,3,1000,0,0,0
639,3,1000,0,1,1
640,3,1000,0,0,0
641,3,1000,0,0,0
642,3,1000,0,0,0
643,3,1000,0,1,1
644,3,1000,0,0,0
645,3,1000,0,1,1
646,3,1200,1,0,0
647,3,1000,0,0,0
648,3,1000,0,0,0
649,3,1000,0,0,0
650,3,1000,0,0,0
651,3,1000,0,0,0
652,3,1000,0,0,0
653,3,1000,0,0,0
654,3,1200,1,0,0
655,3,1000,0,1,1
656,3,1000,0,1,0
657,3,1200,1,0,0
658,3,1200,1,0,0
659,3,1200,1,0,0
660,3,1000,0,1,1
661,3,1000,0,0,0
662,3,1000,0,0,1
663,3,1200,1,1,0
664,3,1000,0,1,0
665,3,1200,1,1,0
666,3,1000,0,0,0
667,3,1000,0,1,1
668,3,1000,0,0,0
669,3,1000,0,0,0
670,3,1200,1,0,0
671,3,1000,0,1,1
672,3,1000,0,0,1
673,3,1000,0,0,0
674,3,1000,0,0,0
675,3,1200,1,1,0
676,3,1000,0,0,0
677,3,1000,0,1,0
678,3,1000,0,0,0
679,3,1000,0,1,1
680,3,1000,0,0,0
681,3,1000,0,0,0
682,3,1000,0,0,0
683,3,1000,0,0,0
684,3,1000,0,1,1
685,3,1000,0,0,0
686,3,1200,1,1,0
687,3,1200,1,0,0
688,3,1000,0,0,0
689,3,1000,0,0,0
690,3,1200,1,0,0
691,3,1000,0,1,1
692,3,1000,0,0,0
693,3,1000,0,0,0
694,3,1200,1,0,0
695,3,1200,1,0,0
696,3,1000,0,0,0
697,3,1000,0,0,0
698,3,1000,0,0,0
699,3,1000,0,1,1
700,3,1000,0,0,0
701,3,1200,1,0,0
702,3,1000,0,1,0
703,3,1000,0,0,0
704,3,1000,0,0,1
705,3,1200,1,0,0
706,3,1000,0,1,1
707,3,1000,0,0,0
708,3,1000,0,0,0
709,3,1000,0,0,0
710,3,1000,0,0,1
711,3,1000,0,0,0
712,3,1200,1,1,0
713,3,1000,0,1,0
714,3,1200,1,0,0
715,3,1000,0,0,1
716,3,1000,0,0,0
717,3,1000,0,0,0
718,3,1000,0,0,0
719,3,1000,0,0,0
720,3,1200,1,0,0
721,3,1200,1,0,1
722,3,1200,1,0,0
723,3,1200,1,0,0
724,3,1000,0,1,0
725,3,1200,1,1,0
726,3,1000,0,0,0
727,3,1000,0,1,0
728,3,1000,0,1,1
729,3,1000,0,0,0
730,3,1000,0,0,0
731,3,1200,1,0,0
732,3,1000,0,0,0
733,3,1000,0,0,0
734,3,1000,0,0,1
735,3,1000,0,1,1
736,3,1200,1,0,0
737,3,1000,0,0,0
738,3,1200,1,0,0
739,3,1000,0,0,0
740,3,1000,0,0,0
741,3,1000,0,1,0
742,3,1000,0,0,0
743,3,1000,0,1,0
744,3,1000,0,0,0
745,3,1200,1,0,0
746,3,1000,0,0,0
747,3,1000,0,0,1
748,3,1000,0,0,0
749,3,1200,1,0,0
750,3,1000,0,0,0
751,3,1000,0,1,0
752,3,1000,0,0,0
753,3,1000,0,0,0
754,3,1200,1,0,0
755,3,1200,1,1,0
756,3,1000,0,1,0
757,3,1000,0,0,0
758,3,1000,0,0,0
759,3,1000,0,0,0
760,3,1000,0,0,0
761,3,1200,1,0,0
762,3,1000,0,0,1
763,3,1000,0,0,0
764,3,1000,0,1,0
765,3,1200,1,0,0
766,3,1000,0,0,0
767,3,1200,1,1,0
768,3,1000,0,0,0
769,3,1000,0,1,0
770,3,1000,0,0,0
771,3,1000,0,0,0
772,3,1000,0,0,0
773,3,1000,0,0,0
774,3,1000,0,0,0
775,3,1200,1,1,0
776,3,1000,0,0,0
777,3,1200,1,0,0
778,3,1000,0,0,0
779,3,1000,0,0,0
780,3,1000,0,0,0
781,3,1000,0,0,0
782,3,1000,0,0,0
783,3,1200,1,0,1
784,3,1000,0,0,0
785,3,1000,0,0,0
786,3,1000,0,1,0
787,3,1000,0,1,0
788,3,1200,1,0,0
789,3,1200,1,0,0
790,3,1000,0,1,0
791,3,1000,0,1,0
792,3,1200,1,0,0
793,3,1000,0,0,0
794,3,1000,0,0,0
795,3,1000,0,1,1
796,3,1000,0,0,0
797,3,1000,0,0,0
798,3,1200,1,1,0
799,3,1000,0,1,1
800,4,1200,0,0,0
801,4,1200,0,0,0
802,4,1200,0,0,0
803,4,1200,0,0,0
804,4,1200,0,1,1
805,4,1000,1,0,0
806,4,1200,0,0,0
807,4,1200,0,0,0
808,4,1200,0,1,1
809,4,1200,0,0,0
810,4,1000,1,0,0
811,4,1200,0,1,0
812,4,1200,0,1,1
813,4,1200,0,1,1
814,4,1200,0,0,0
815,4,1200,0,1,1
816,4,1200,0,0,0
817,4,1000,1,0,0
818,4,1200,0,0,0
819,4,1200,0,0,0
820,4,1000,1,1,0
821,4,1000,1,1,0
822,4,1000,1,0,0
823,4,1200,0,0,0
824,4,1200,0,0,0
825,4,1200,0,0,0
826,4,1200,0,0,0
827,4,1200,0,0,0
828,4,1200,0,0,0
829,4,1200,0,0,0
830,4,1200,0,0,1
831,4,1200,0,0,0
832,4,1200,0,0,1
833,4,1200,0,0,0
834,4,1200,0,1,0
835,4,1200,0,1,1
836,4,1200,0,0,0
837,4,1200,0,1,1
838,4,1000,1,1,0
839,4,1200,0,0,0
840,4,1000,1,0,0
841,4,1200,0,0,0
842,4,1200,0,0,0
843,4,1200,0,0,0
844,4,1200,0,1,1
845,4,1000,1,0,0
846,4,1200,0,0,0
847,4,1200,0,0,0
848,4,1200,0,0,1
849,4,1000,1,0,0
850,4,1000,1,0,0
851,4,1200,0,0,0
852,4,1200,0,0,0
853,4,1200,0,0,0
854,4,1000,1,1,1
855,4,1000,1,0,0
856,4,1200,0,0,0
857,4,1200,0,0,0
858,4,1000,1,0,0
859,4,1200,0,0,0
860,4,1200,0,1,0
861,4,1200,0,1,1
862,4,1000,1,0,0
863,4,1000,1,0,0
864,4,1200,0,0,0
865,4,1200,0,1,1
866,4,1200,0,0,0
867,4,1000,1,1,0
868,4,1000,1,0,0
869,4,1200,0,0,0
870,4,1200,0,0,0
871,4,1200,0,0,0
872,4,1200,0,0,0
873,4,1200,0,0,0
874,4,1200,0,0,1
875,4,1200,0,0,0
876,4,1000,1,0,0
877,4,1000,1,1,0
878,4,1200,0,0,0
879,4,1200,0,1,0
880,4,1200,0,0,0
881,4,1200,0,0,1
882,4,1200,0,1,0
883,4,1200,0,1,0
884,4,1200,0,0,0
885,4,1000,1,0,0
886,4,1200,0,1,1
887,4,1200,0,0,0
888,4,1200,0,0,0
889,4,1000,1,0,0
890,4,1000,1,0,0
891,4,1200,0,0,0
892,4,1000,1,0,0
893,4,1000,1,0,1
894,4,1200,0,0,0
895,4,1200,0,1,1
896,4,1200,0,0,0
897,4,1200,0,1,1
898,4,1200,0,0,0
899,4,1200,0,1,0
900,4,1200,0,0,0
901,4,1200,0,1,0
902,4,1200,0,0,0
903,4,1200,0,0,0
904,4,1000,1,0,1
905,4,1000,1,1,0
906,4,1200,0,0,1
907,4,1200,0,1,0
908,4,1000,1,0,0
909,4,1200,0,0,0
910,4,1000,1,0,1
911,4,1200,0,0,0
912,4,1200,0,0,1
913,4,1200,0,0,0
914,4,1200,0,1,1
915,4,1200,0,0,0
916,4,1200,0,0,0
917,4,1200,0,0,0
918,4,1000,1,0,1
919,4,1200,0,0,0
920,4,1200,0,1,0
921,4,1200,0,0,0
922,4,1200,0,0,0
923,4,1200,0,0,0
924,4,1000,1,0,0
925,4,1200,0,0,1
926,4,1200,0,0,0
927,4,1000,1,1,1
928,4,1000,1,1,0
929,4,1200,0,1,1
930,4,1200,0,1,1
931,4,1200,0,1,1
932,4,1200,0,0,0
933,4,1200,0,1,1
